gcode,ReleaseDate,ListPrice,Brand,Series Title,Character Name,Sculptor,Scale,Size,Material
FIGURE-610729,2021-01-01,17600,Union Creative,To Love-Ru Darkness,Nemesis,Akabeko,1/6,"ATBC-PVC, ABS (Main Figure)",
FIGURE-052763,2021-03-01,24800,Good Smile Company,"""VOCALOID"" Series",Hatsune Miku,Itashi Katahara,1/7,Approx. H230mm,ABS & PVC
FIGURE-005246,2014-11-01,12960,Kotobukiya,Attack on Titan (Shingeki no Kyojin),Mikasa Ackerman,Kento Ogasawara,1/8,Approx. H350mm including blade,
FIGURE-012630-R,2015-08-01,340,Banpresto,Kantai Collection -Kan Colle-,Haruna,,,Chibi KyunChara: Approx. 6.5cm including base / Stage Set: Approx. 10cm,
FIGURE-060308,2020-11-01,14850,Chara-ani,Rascal Does Not Dream of Bunny Girl Senpai (Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai),Mai Sakurajima,MIC,1/7,Approx. H235mm,
FIG-MOE-0016,2008-09-01,6380,Pleasant Angels,Koihime Musou,Choun(Sei),,1/8,,
FIGURE-049044,2019-09-01,880,Bandai,"""Sword Art Online"" Series",Asuna Yuuki(Asuna/Titania),,,Approx. 25cm,
FIGURE-001852,2014-01-01,2700,Penguin Parade,Oreimo 2 (My Little Sister Can't Be This Cute 2nd Season),Ayase Aragaki,Tomohiro Murakami,,Approx. H70mm (non-scale),
FIGURE-044563,2019-08-01,16280,Alter,"""THE IDOLM@STER"" Series",Miria Akagi,sai,1/7,Approx. H190mm,PVC
FIG-MOE-2177,2012-04-01,7480,Movic,"""Lyrical Nanoha"" Series",Fate Testarossa(Fate T. Harlaown),Heel Saito,Approx. 200mm,,
FIG-MOE-09291,2013-04-01,0,former SEGA,Love Live!,Nico Yazawa,,,Approx. H10cm,
FIG-MOE-8479-R,2013-09-01,10120,Alter,Fate/stay night,Altria Pendragon(Saber/Saber Lily/Saber Alter),Ryo Hashimoto,1/7,Approx. H270mm,
FIGURE-005031,2014-05-01,15400,,Kanojo x Kanojo x Kanojo,Mafuyu Orifushi,Rei AzusaGunDoll,1/7,Approx. 205mm,"Polystone (unsaturated polyester), PVC"
FIGURE-051364,2019-12-01,16280,MegaHouse,Cowboy Bebop,Faye Valentine,PINPOINT,1/8,Approx. H210mm,"PVC, ABS, MABS"
FIGURE-118143,2021-03-01,18700,Daiki Kogyo,,,Ma.Ga.Ra,1/6,Approx. H275mm,
HOB-FIG-3641A,2006-08-01,6480,Atelier Sai,My-Otome,Arika Yumemiya,,1/10,Approx. L150mm,
FIG-MOE-0715,2009-06-01,21780,Musashiya,Onegai Teacher (Please Teacher!),Mizuho Kazami,Ushio Karumagi,1/5,Approx. L33cm,
FIGURE-029602,2018-02-01,15180,Alter,"""Fate"" Series",Altria Pendragon(Saber/Saber Lily/Saber Alter),Hatioto,1/7,Approx. H230mm (hat included),
FIGURE-040699-R,2018-07-01,2080,Banpresto,"""Dragon Ball"" Series",Bulma,,,Approx. 25cm,
